query_group,query,video_id,channel_id,channel_name,title,views,published_text,age_days,duration_seconds,url
everyday_history,what soldiers ate Civil War documentary,CLm8RualEoI,UCE9KnP_36R05om9EnvmP4jA,Warline Stories,What American Civil War Soldiers Really Ate (1861) — The Extremely Shocking Truth About Army Rations,14,9 months ago,270,179,https://www.youtube.com/watch?v=CLm8RualEoI
everyday_history,what soldiers ate Civil War documentary,bOzKxPDkeAY,UCyCSbQ8ycQFpptUz5k6nltw,American Food History,25 BRUTAL Meals Civil War Soldiers ACTUALLY Ate to Survive,42616,4 months ago,120,1685,https://www.youtube.com/watch?v=bOzKxPDkeAY
everyday_history,what soldiers ate Civil War documentary,0iZzfzV_MN8,UCyCSbQ8ycQFpptUz5k6nltw,American Food History,25 BRUTAL Korean War Meals American Soldiers Ate in the Frozen Trenches,10950,5 days ago,5,1865,https://www.youtube.com/watch?v=0iZzfzV_MN8
everyday_history,what soldiers ate Civil War documentary,e5fjmdWI9dM,UCzV8tU9puZ9xHtCJHUvEClw,Military Heroes,Grant's Victory Against the Confederate Army | Grant,17023,9 days ago,9,1818,https://www.youtube.com/watch?v=e5fjmdWI9dM
everyday_history,what soldiers ate Civil War documentary,Xr3bqbQpBkI,UCE9KnP_36R05om9EnvmP4jA,Warline Stories,What American Civil War Soldiers Really Ate (1861) | The Shocking Truth About Army Rations,222,9 months ago,270,179,https://www.youtube.com/watch?v=Xr3bqbQpBkI
everyday_history,what soldiers ate Civil War documentary,OsTe5L9fxCM,UC6PgfGYHKx9yDHhjjyq8Lng,Dramatic Tales of War,What Did Civil War Soldiers Really Eat Every Day?,14,7 months ago,210,2285,https://www.youtube.com/watch?v=OsTe5L9fxCM
everyday_history,what soldiers ate Civil War documentary,-tzx3BCTmKA,UCpB4sbt0TWqBzIbPlSnbzMQ,Sleepless Historian,The CIVIL WAR'S Strangest SURVIVAL Foods - and more,26,6 days ago,6,7963,https://www.youtube.com/watch?v=-tzx3BCTmKA
everyday_history,what soldiers ate Civil War documentary,oo6MQqvzPtQ,UC9Bc5Kkqw6WuOFAbbdmPrZQ,Epic War Extra,Robert E. Lee's Biggest Mistakes: Why He Lost the Civil War | Full Documentary,15659,4 months ago,120,4082,https://www.youtube.com/watch?v=oo6MQqvzPtQ
everyday_history,what soldiers ate Civil War documentary,RwPkFl5FV4g,UCptumInBgDJ9PTKFTyQpvuQ,Forgotten Servant Kitchens,20 Brutal Rations Civil War Soldiers Were Forced to Eat to Stay Alive,6371,2 months ago,60,1410,https://www.youtube.com/watch?v=RwPkFl5FV4g
everyday_history,what soldiers ate Civil War documentary,XuEwTlusUbE,UCdYl0WWHJRPWF4HpspHnhkQ,Forgotten Foods TV,What Civil War Soldiers Really Ate to Survive,192,2 weeks ago,14,338,https://www.youtube.com/watch?v=XuEwTlusUbE
everyday_history,what soldiers ate Civil War documentary,6gre4Ouqlt4,UCYiKhBDh_4dVIdxXI8on2Rw,The Long Watch,Could You Survive a Winter in a Civil War Army Camp? | 1863–64 | American Civil War Documentary,116,3 days ago,3,7391,https://www.youtube.com/watch?v=6gre4Ouqlt4
everyday_history,what soldiers ate Civil War documentary,03R6dOAfCVU,UCPyXgBceri7IB8aLudXpBBg,America Nostalgia,30 Meals Served in Civil War Army Camps,2081,11 months ago,330,4284,https://www.youtube.com/watch?v=03R6dOAfCVU
everyday_history,what soldiers ate Civil War documentary,lSlZXoAgqls,UC-wgldSMwV0Go3sioIurfew,Hilltop History,The Great Siege That Broke The Confedracy.,319,3 weeks ago,21,706,https://www.youtube.com/watch?v=lSlZXoAgqls
everyday_history,what soldiers ate Civil War documentary,yPOveH8W-SY,UCVzQS6dUmQwGD67Wkj0_8gA,Sleepy Historian ,They Ate WHAT During the Civil War? 😱 | The Strangest Survival Foods in History,10,1 month ago,30,7279,https://www.youtube.com/watch?v=yPOveH8W-SY
everyday_history,what soldiers ate Civil War documentary,DUHmIItI430,UCYoTbrSPXlwRMh8SEopZ1-g,History on a Fork,I Cooked 250 Years of US Army Food,587984,2 months ago,60,1285,https://www.youtube.com/watch?v=DUHmIItI430
everyday_history,what soldiers ate Civil War documentary,MzJgrfaDLVQ,UCc0u5ziZC7EDOdqccu1uWEA,Optimum History,Why Southern Oficers Couldn’t Explain How Sherman’s Army Lived Off The Land ForMonths,89,10 days ago,10,1045,https://www.youtube.com/watch?v=MzJgrfaDLVQ
everyday_history,what soldiers ate Civil War documentary,paD7FCooVEg,UChnIpd1Yj_8eaJ2IRAH-Fpw,The America We Remember,25 Meals American Soldiers REALLY Ate During the Revolutionary War,20845,11 months ago,330,2434,https://www.youtube.com/watch?v=paD7FCooVEg
everyday_history,what soldiers ate Civil War documentary,pP_RFyodz_0,UCldZMqvajWUXViIcMg-ATTQ,History Told ,"The untold Truth of the ""Coffee Crisis"" during the American Civil War",181,8 months ago,240,2176,https://www.youtube.com/watch?v=pP_RFyodz_0
everyday_history,mail before railroad America history,MaSU9IxSKB4,UC-QcH8EQhHtPqAhG7l12pFw,The Crackton Files,The Amazing Details in 1864 Civil War Railroad Photos | Animated History Journey,1645,8 months ago,240,476,https://www.youtube.com/watch?v=MaSU9IxSKB4
everyday_history,mail before railroad America history,aSsvZLjn86Y,UC-m4rrNfL_4RLHIVaZrg3vw,Head of the Underground,The Underground Mail Railroad They Tried to Erase From History,1342,3 months ago,90,1579,https://www.youtube.com/watch?v=aSsvZLjn86Y
everyday_history,mail before railroad America history,t9t7WfUpiJA,UC01jNwhTBwOlOE4k-tgk1BA,History chapter,The Transcontinental Railroad(1869)Progress or Conquest?The Real Story Behind America’s Greatest Lie,7,5 months ago,150,1050,https://www.youtube.com/watch?v=t9t7WfUpiJA
everyday_history,mail before railroad America history,terF_PJhak8,UCOlIQ0e0-8Wdc8fDtGCnEOw,Legendary Locomotives,How The Post Office DESTROYED Passenger Rail,462,7 months ago,210,516,https://www.youtube.com/watch?v=terF_PJhak8
everyday_history,mail before railroad America history,MuK-FKXiStM,UCftK59zt9qUQBpfQhnNt88Q,حمزة يحكي,How Sears Sold Entire Houses Through the Mail,22,4 weeks ago,28,770,https://www.youtube.com/watch?v=MuK-FKXiStM
everyday_history,mail before railroad America history,oA55vwg1cuw,UCf6QOV4N3QCfH-MM3_AJIpg,Grand Manors,"How America's Richest Railroad City Became Its Poorest: Reading, PA",14082,2 months ago,60,2964,https://www.youtube.com/watch?v=oA55vwg1cuw
everyday_history,mail before railroad America history,cwV9yXfHaRg,UC4_71Fpwff5QjGP0LaX_04A,American Ironworks,Why America Deliberately Abandoned Its Greatest Passenger Railroad,835,1 month ago,30,991,https://www.youtube.com/watch?v=cwV9yXfHaRg
