channel_id,channel_name,query_groups,search_video_count,recent_long_count,max_search_views,median_search_views,channel_url
UCH_NPepxAgaIdOU8XvXxIbQ,Future Frame,work_career_education,1,1,15,15,https://www.youtube.com/channel/UCH_NPepxAgaIdOU8XvXxIbQ/videos
UClfQHs8djNwNqQqaYA1K24Q,The Food Odyssey,practical_lifestyle,1,1,15,15,https://www.youtube.com/channel/UClfQHs8djNwNqQqaYA1K24Q/videos
UCaPL0GxJHaOvIP-YmZzXjnQ,Poor Woman's Almanac,everyday_history,1,1,15,15,https://www.youtube.com/channel/UCaPL0GxJHaOvIP-YmZzXjnQ/videos
UCrRKHZfN1Z6iwD7Hdhp2Hig,American Retold,everyday_history,1,1,15,15,https://www.youtube.com/channel/UCrRKHZfN1Z6iwD7Hdhp2Hig/videos
UCP_8_DScsTDT0ujGHUXzvfA,Shadow Archive Docu,everyday_history,1,1,15,15,https://www.youtube.com/channel/UCP_8_DScsTDT0ujGHUXzvfA/videos
UCDlRdULhDO8eQj1sK9TFLIg,Forgotten Battle Files,everyday_history,1,1,15,15,https://www.youtube.com/channel/UCDlRdULhDO8eQj1sK9TFLIg/videos
UCDxgoNKEIUaIlsX5oMPfczw,The Dreamorian,everyday_history,1,1,15,15,https://www.youtube.com/channel/UCDxgoNKEIUaIlsX5oMPfczw/videos
UCoLTAyAmaxYCIybGYfGOI5Q,Finvora Finance,business_economics,1,0,15,15,https://www.youtube.com/channel/UCoLTAyAmaxYCIybGYfGOI5Q/videos
UCJjXizyi6SdtCa_3u1t7WRw,ZenasChronicles,consumer_systems,1,0,15,15,https://www.youtube.com/channel/UCJjXizyi6SdtCa_3u1t7WRw/videos
UC80XJAY06N9JevwIVGLb8EQ,NEXORA GLOBAL ,consumer_systems,1,0,15,15,https://www.youtube.com/channel/UC80XJAY06N9JevwIVGLb8EQ/videos
UCRzI87byCv-CL-UA18r8zKw,Before Modern Things,everyday_history,1,0,15,15,https://www.youtube.com/channel/UCRzI87byCv-CL-UA18r8zKw/videos
UCmUnr9efQPGV0zg37YvL2-w,Prime History Facts,everyday_history,1,0,15,15,https://www.youtube.com/channel/UCmUnr9efQPGV0zg37YvL2-w/videos
UCAbCSX0mopY422U4jIwW6dw,Origins Of Inventions,everyday_history,1,0,15,15,https://www.youtube.com/channel/UCAbCSX0mopY422U4jIwW6dw/videos
UCH_m8c0Bu42WrNLKKHJ-IhA,US Banking Explained,consumer_systems,1,1,14,14,https://www.youtube.com/channel/UCH_m8c0Bu42WrNLKKHJ-IhA/videos
UCpOOqWieRCxg8LkkESdPEZA,Warbound History,history_civilization,1,1,14,14,https://www.youtube.com/channel/UCpOOqWieRCxg8LkkESdPEZA/videos
UCQl3Y9s7aArW1_NR8bAbCqw,Wealth Explainer,geography_logistics,1,1,14,14,https://www.youtube.com/channel/UCQl3Y9s7aArW1_NR8bAbCqw/videos
